Year,2019,2020,2021,2022
Duration,136,366,365,365
General,45.162962962962965,28.32516378796903,28.260681864719132,29.283981403212174
Plastic,6.646913580246914,11.27170935080405,9.516910108525014,9.966483516483517
Compost,94.84197530864198,43.51366885050625,31.110231383523303,27.84687235841082
Returnables,8.7,5.986867182846932,6.364787386526516,5.333474218089603
Metal,6.855555555555555,0.3150684931506849,0.15934065934065933,0.48520710059171607
Glass,77.2358024691358,13.29041095890411,1.8076923076923077,0.9467455621301776
Card,35.27160493827161,27.439636688505065,20.92724046140195,23.8883347421809
Paper,64.81851851851852,24.833918999404407,21.729028735239915,25.175781910397294
Total,339.5333333333333,154.97644431209054,119.87591290696878,122.9268808114962
